file	bytes	eoi_offset	trailer_bytes	head_sha256	trailer_sha256
cleaned_hex_ready.jpg	3129	1354	1773	1c177ef0d80173583038459325e918279ef61ff165924dac25455a629508f359	b469e9872446c65a7d0a0b93f425e8df5720e59f01b2d946f433b3e1a4ef28ab
manifesto replicate output 4.3 AUDIO HEX.jpg	3251	-1	0	44f8e88920f1646cc9c9ac399aac5f62e62afc5c625ab5f684a0eef0684ae3c7	-
revised_output_hex.jpg	3251	1476	1773	b8920a338a2e9015a7ea96579c2e6fcb9238ff1ae2a1638d0531661ace8c737f	b469e9872446c65a7d0a0b93f425e8df5720e59f01b2d946f433b3e1a4ef28ab
