source	bytes	sha256	head_hex	type
/mnt/c/Users/rodez/Downloads/cleaned_hex_ready.txt	3129	158e412566e1b318b86de33e19aba3fe714d6a0adabbbd13585d75fde1994701	ffd8ffe000104a464946000101000001	jpeg
/mnt/c/Users/rodez/Downloads/revised_output_hex.txt	3251	67588723e6398a7e920f3a0f4ad05ea4d565960fe1921b0827fa0314c2497fdb	ffd8ffe000104a464946000101000001	jpeg
/mnt/c/Users/rodez/Downloads/manifesto replicate output 4.3 AUDIO HEX.txt	3251	44f8e88920f1646cc9c9ac399aac5f62e62afc5c625ab5f684a0eef0684ae3c7	ffd8ffe000104a464946000101000001	jpeg
