output_byte,character_escaped,byte_hex,input_hex_high_position,input_hex_low_position
377,'o',6f,2006,2647
378,'m',6d,404,1045
379,'e',65,1686,2327
380,'t',74,84,725
381,'h',68,1366,2007
382,'i',69,2648,405
383,'n',6e,1046,1687
384,'g',67,2328,85
385,"','",2c,726,1367
386,' ',20,2008,2649
387,'g',67,406,1047
388,'u',75,1688,2329
389,'e',65,86,727
390,'s',73,1368,2009
391,'s',73,2650,407
392,' ',20,1048,1689
393,'w',77,2330,87
394,'h',68,728,1369
395,'a',61,2010,2651
396,'t',74,408,1049
397,"','",2c,1690,2331
398,' ',20,88,729
399,'y',79,1370,2011
400,'o',6f,2652,409
401,'u',75,1050,1691
402,' ',20,2332,89
403,'a',61,730,1371
404,'r',72,2012,2653
405,'e',65,410,1051
406,' ',20,1692,2333
407,'t',74,90,731
408,'h',68,1372,2013
409,'e',65,2654,411
410,' ',20,1052,1693
411,'d',64,2334,91
412,'e',65,732,1373
413,'v',76,2014,2655
414,' ',20,412,1053
415,'n',6e,1694,2335
416,'o',6f,92,733
417,'w',77,1374,2015
418,'.',2e,2656,413
