output_byte,character_escaped,byte_hex,input_hex_high_position,input_hex_low_position
1005,'h',68,2466,223
1006,'a',61,864,1505
1007,'t',74,2146,2787
1008,' ',20,544,1185
1009,'a',61,1826,2467
1010,'f',66,224,865
1011,'t',74,1506,2147
1012,'e',65,2788,545
1013,'r',72,1186,1827
1014,' ',20,2468,225
1015,'t',74,866,1507
1016,'h',68,2148,2789
1017,'e',65,546,1187
1018,' ',20,1828,2469
1019,'d',64,226,867
1020,'e',65,1508,2149
1021,'p',70,2790,547
1022,'l',6c,1188,1829
1023,'o',6f,2470,227
1024,'y',79,868,1509
1025,"','",2c,2150,2791
1026,' ',20,548,1189
1027,'t',74,1830,2471
1028,'h',68,228,869
1029,'e',65,1510,2151
1030,' ',20,2792,549
1031,'d',64,1190,1831
1032,'e',65,2472,229
1033,'v',76,870,1511
1034,'(',28,2152,2793
1035,'s',73,550,1191
1036,')',29,1832,2473
1037,' ',20,230,871
1038,'t',74,1512,2153
1039,'h',68,2794,551
1040,'a',61,1192,1833
1041,'t',74,2474,231
1042,' ',20,872,1513
1043,'d',64,2154,2795
1044,'e',65,552,1193
1045,'p',70,1834,2475
1046,'l',6c,232,873
1047,'o',6f,1514,2155
1048,'y',79,2796,553
1049,'e',65,1194,1835
1050,'d',64,2476,233
1051,' ',20,874,1515
1052,'i',69,2156,2797
1053,'t',74,554,1195
1054,' ',20,1836,2477
1055,'d',64,234,875
1056,'o',6f,1516,2157
1057,' ',20,2798,555
1058,'n',6e,1196,1837
1059,'o',6f,2478,235
1060,'t',74,876,1517
1061,' ',20,2158,2799
1062,'m',6d,556,1197
1063,'a',61,1838,2479
1064,'t',74,236,877
1065,'t',74,1518,2159
1066,'e',65,2800,557
1067,'r',72,1198,1839
1068,' ',20,2480,237
1069,'m',6d,878,1519
1070,'o',6f,2160,2801
1071,'r',72,558,1199
1072,'e',65,1840,2481
1073,' ',20,238,879
1074,'t',74,1520,2161
1075,'h',68,2802,559
1076,'a',61,1200,1841
1077,'n',6e,2482,239
1078,' ',20,880,1521
1079,'a',61,2162,2803
1080,'n',6e,560,1201
1081,'y',79,1842,2483
1082,' ',20,240,881
1083,'i',69,1522,2163
1084,'n',6e,2804,561
1085,'d',64,1202,1843
1086,'i',69,2484,241
1087,'v',76,882,1523
1088,'i',69,2164,2805
1089,'d',64,562,1203
1090,'u',75,1844,2485
1091,'a',61,242,883
1092,'l',6c,1524,2165
1093,' ',20,2806,563
1094,'c',63,1204,1845
1095,'o',6f,2486,243
1096,'m',6d,884,1525
1097,'m',6d,2166,2807
1098,'u',75,564,1205
1099,'n',6e,1846,2487
1100,'i',69,244,885
1101,'t',74,1526,2167
1102,'y',79,2808,565
1103,' ',20,1206,1847
1104,'m',6d,2488,245
1105,'e',65,886,1527
1106,'m',6d,2168,2809
1107,'b',62,566,1207
1108,'e',65,1848,2489
1109,'r',72,246,887
1110,'.',2e,1528,2169
1111,' ',20,2810,567
1112,'\n',0a,1208,1849
1113,'\n',0a,2490,247
1114,'T',54,888,1529
1115,'h',68,2170,2811
1116,'e',65,568,1209
1117,' ',20,1850,2491
1118,'s',73,248,889
1119,'c',63,1530,2171
1120,'o',6f,2812,569
1121,'p',70,1210,1851
1122,'e',65,2492,249
1123,' ',20,890,1531
1124,'o',6f,2172,2813
1125,'f',66,570,1211
1126,' ',20,1852,2493
1127,'w',77,250,891
1128,'h',68,1532,2173
1129,'a',61,2814,571
1130,'t',74,1212,1853
1131,' ',20,2494,251
1132,'w',77,892,1533
1133,'e',65,2174,2815
1134,' ',20,572,1213
1135,'a',61,1854,2495
1136,'r',72,252,893
1137,'e',65,1534,2175
1138,' ',20,2816,573
1139,'t',74,1214,1855
1140,'r',72,2496,253
1141,'y',79,894,1535
1142,'i',69,2176,2817
1143,'n',6e,574,1215
1144,'g',67,1856,2497
1145,' ',20,254,895
1146,'t',74,1536,2177
1147,'o',6f,2818,575
1148,' ',20,1216,1857
1149,'a',61,2498,255
1150,'c',63,896,1537
1151,'h',68,2178,2819
1152,'i',69,576,1217
1153,'e',65,1858,2499
1154,'v',76,256,897
1155,'e',65,1538,2179
1156,' ',20,2820,577
1157,'n',6e,1218,1859
1158,'e',65,2500,257
1159,'e',65,898,1539
1160,'d',64,2180,2821
1161,'s',73,578,1219
1162,' ',20,1860,2501
1163,'t',74,258,899
1164,'o',6f,1540,2181
1165,' ',20,2822,579
1166,'b',62,1220,1861
1167,'e',65,2502,259
1168,' ',20,900,1541
1169,'g',67,2182,2823
1170,'r',72,580,1221
1171,'e',65,1862,2503
1172,'a',61,260,901
1173,'t',74,1542,2183
1174,'e',65,2824,581
1175,'r',72,1222,1863
1176,' ',20,2504,261
1177,'t',74,902,1543
1178,'h',68,2184,2825
1179,'a',61,582,1223
1180,'n',6e,1864,2505
1181,' ',20,262,903
1182,'a',61,1544,2185
1183,'n',6e,2826,583
1184,'y',79,1224,1865
1185,' ',20,2506,263
1186,'s',73,904,1545
1187,'i',69,2186,2827
1188,'n',6e,584,1225
1189,'g',67,1866,2507
1190,'l',6c,264,905
1191,'e',65,1546,2187
1192,' ',20,2828,585
1193,'h',68,1226,1867
1194,'u',75,2508,265
1195,'m',6d,906,1547
1196,'a',61,2188,2829
1197,'n',6e,586,1227
1198,' ',20,1868,2509
1199,'o',6f,266,907
1200,'r',72,1548,2189
1201,' ',20,2830,587
1202,'g',67,1228,1869
1203,'r',72,2510,267
1204,'o',6f,908,1549
1205,'u',75,2190,2831
1206,'p',70,588,1229
1207,' ',20,1870,2511
1208,'a',61,268,909
1209,'n',6e,1550,2191
1210,'d',64,2832,589
1211,' ',20,1230,1871
1212,'b',62,2512,269
1213,'e',65,910,1551
1214,' ',20,2192,2833
1215,'t',74,590,1231
1216,'r',72,1872,2513
1217,'u',75,270,911
1218,'l',6c,1552,2193
1219,'y',79,2834,591
1220,' ',20,1232,1873
1221,'c',63,2514,271
1222,'e',65,912,1553
1223,'n',6e,2194,2835
1224,'s',73,592,1233
1225,'o',6f,1874,2515
1226,'r',72,272,913
1227,'s',73,1554,2195
1228,'h',68,2836,593
1229,'i',69,1234,1875
1230,'p',70,2516,273
1231,' ',20,914,1555
1232,'r',72,2196,2837
1233,'e',65,594,1235
1234,'s',73,1876,2517
1235,'i',69,274,915
1236,'s',73,1556,2197
1237,'t',74,2838,595
1238,'a',61,1236,1877
1239,'n',6e,2518,275
1240,'t',74,916,1557
1241,'.',2e,2198,2839
1242,' ',20,596,1237
1243,' ',20,1878,2519
1244,' ',20,276,917
1245,'O',4f,1558,2199
1246,'n',6e,2840,597
1247,' ',20,1238,1879
1248,'t',74,2520,277
1249,'h',68,918,1559
1250,'e',65,2200,2841
1251,' ',20,598,1239
1252,'s',73,1880,2521
1253,'a',61,278,919
1254,'m',6d,1560,2201
1255,'e',65,2842,599
1256,' ',20,1240,1881
1257,'n',6e,2522,279
1258,'o',6f,920,1561
1259,'t',74,2202,2843
1260,'e',65,600,1241
1261,"','",2c,1882,2523
1262,' ',20,280,921
1263,'a',61,1562,2203
1264,'n',6e,2844,601
1265,'y',79,1242,1883
1266,'b',62,2524,281
1267,'o',6f,922,1563
1268,'d',64,2204,2845
1269,'y',79,602,1243
1270,' ',20,1884,2525
1271,'t',74,282,923
1272,'r',72,1564,2205
1273,'y',79,2846,603
1274,'i',69,1244,1885
1275,'n',6e,2526,283
1276,'g',67,924,1565
1277,' ',20,2206,2847
1278,'t',74,604,1245
1279,'o',6f,1886,2527
1280,' ',20,284,925
1281,'b',62,1566,2207
1282,'u',75,2848,605
1283,'i',69,1246,1887
1284,'l',6c,2528,285
1285,'d',64,926,1567
1286,' ',20,2208,2849
1287,'a',61,606,1247
1288,' ',20,1888,2529
1289,"""'""",27,286,927
1290,'g',67,1568,2209
1291,'r',72,2850,607
1292,'o',6f,1248,1889
1293,'w',77,2530,287
1294,'t',74,928,1569
1295,'h',68,2210,2851
1296,' ',20,608,1249
1297,'f',66,1890,2531
1298,'u',75,288,929
1299,'n',6e,1570,2211
1300,'d',64,2852,609
1301,"'""'",22,1250,1891
1302,' ',20,2532,289
1303,'o',6f,930,1571
1304,'r',72,2212,2853
1305,' ',20,610,1251
1306,"'""'",22,1892,2533
1307,'d',64,290,931
1308,'a',61,1572,2213
1309,'o',6f,2854,611
1310,"'""'",22,1252,1893
1311,' ',20,2534,291
1312,'o',6f,932,1573
1313,'r',72,2214,2855
1314,' ',20,612,1253
1315,"'""'",22,1894,2535
1316,'s',73,292,933
1317,'u',75,1574,2215
1318,'p',70,2856,613
1319,'p',70,1254,1895
1320,'o',6f,2536,293
1321,'r',72,934,1575
1322,'t',74,2216,2857
1323,' ',20,614,1255
1324,'t',74,1896,2537
1325,'o',6f,294,935
1326,'k',6b,1576,2217
1327,'e',65,2858,615
1328,'n',6e,1256,1897
1329,"'""'",22,2538,295
1330,' ',20,936,1577
1331,' ',20,2218,2859
1332,'b',62,616,1257
1333,'a',61,1898,2539
1334,'s',73,296,937
1335,'e',65,1578,2219
1336,'d',64,2860,617
1337,' ',20,1258,1899
1338,'a',61,2540,297
1339,'r',72,938,1579
1340,'o',6f,2220,2861
1341,'u',75,618,1259
1342,'n',6e,1900,2541
1343,'d',64,298,939
1344,' ',20,1580,2221
1345,'t',74,2862,619
1346,'h',68,1260,1901
1347,'i',69,2542,299
1348,'s',73,940,1581
1349,' ',20,2222,2863
1350,'c',63,620,1261
1351,'a',61,1902,2543
1352,'n',6e,300,941
1353,' ',20,1582,2223
1354,'g',67,2864,621
1355,'o',6f,1262,1903
1356,' ',20,2544,301
1357,'a',61,942,1583
1358,'n',6e,2224,2865
